instruction,input,output
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 76
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 76 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 77
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 77 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 78
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 78 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 79
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 79 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 80
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 80 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 81
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 81 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 82
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 82 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 83
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 83 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 84
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 84 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
"""You are an expert fitness trainer and biomechanics specialist on back squat. Analyze back squat form data. Provide corrective feedback considering form issues, body type, and measurements. Give actionable recommendations.""","Body Type: Longer Legs
Heels Lifting: FALSE
Torso Forward: FALSE
Knees Forward: FALSE
Elbow Flaring: FALSE
Depth: 85
Acceptable: TRUE",Acceptable. Keep going. ||| Your squat form is correct. Depth: 85 degrees (75-90 range). Heels: on ground. Torso: proper alignment. Knees: behind toes. Elbows: proper position. All form elements are within acceptable ranges. Continue with this form.
